t / s;&j / arb.u;&w / 1/s;t / s;M / arb.u
3,28;-1,27;-1,3;3,28;-3,071
3,33;-1,32;-0,6;3,33;-3,071
3,38;-1,34;0,1;3,38;-3,071
3,43;-1,31;0,8;3,43;-3,071
3,48;-1,25;1,6;3,48;-3,071
3,53;-1,16;2,2;3,53;-3,071
3,58;-1,03;2,8;3,58;-3,071
3,63;-0,88;3,3;3,63;-3,071
3,68;-0,7;3,7;3,68;-3,071
3,73;-0,5;4;3,73;-3,071
3,78;-0,29;4,2;3,78;-3,071
3,83;-0,08;4,2;3,83;-3,071
3,88;0,12;4,2;3,88;-3,071
3,93;0,33;4,1;3,93;-3,071
3,98;0,54;4,1;3,98;-3,071
4,03;0,74;3,9;4,03;-3,071
4,08;0,92;3,5;4,08;-3,071
4,13;1,09;3;4,13;-3,071
4,18;1,23;2,4;4,18;-3,071
4,23;1,33;1,7;4,23;-3,071
4,28;1,4;0,9;4,28;-3,071
4,33;1,42;0,2;4,33;-3,071
4,38;1,41;-0,6;4,38;-3,071
4,43;1,36;-1,4;4,43;-3,071
4,48;1,27;-2,2;4,48;-3,071
4,53;1,15;-2,8;4,53;-3,071
4,58;0,99;-3,3;4,58;-3,071
4,63;0,81;-3,7;4,63;-3,071
4,68;0,62;-3,9;4,68;-3,071
4,73;0,43;-4;4,73;-3,071
4,78;0,22;-4;4,78;-3,071
4,83;0,02;-4;4,83;-3,071
4,88;-0,18;-4;4,88;-3,071
4,93;-0,38;-3,9;4,93;-3,071
4,98;-0,57;-3,7;4,98;-3,071
5,03;-0,75;-3,3;5,03;-3,071
5,08;-0,9;-2,8;5,08;-3,071
5,13;-1,03;-2,3;5,13;-3,071
5,18;-1,13;-1,7;5,18;-3,071
5,23;-1,2;-1;5,23;-3,071
5,28;-1,24;-0,4;5,28;-3,071
5,33;-1,24;0,3;5,33;-3,071
5,38;-1,21;0,9;5,38;-3,071
5,43;-1,15;1,6;5,43;-3,071
5,48;-1,05;2,2;5,48;-3,071
5,53;-0,93;2,7;5,53;-3,071
5,58;-0,78;3,2;5,58;-3,071
5,63;-0,61;3,6;5,63;-3,071
5,68;-0,42;3,8;5,68;-3,071
5,73;-0,23;3,9;5,73;-3,071
5,78;-0,04;3,9;5,78;-3,071
5,83;0,16;3,8;5,83;-3,071
5,88;0,35;3,8;5,88;-3,071
5,93;0,54;3,7;5,93;-3,071
5,98;0,72;3,5;5,98;-3,071
6,03;0,89;3,2;6,03;-3,071
6,08;1,03;2,7;6,08;-3,071
6,13;1,16;2,1;6,13;-3,071
6,18;1,25;1,4;6,18;-3,071
6,23;1,3;0,7;6,23;-3,071
6,28;1,32;0;6,28;-3,071
6,33;1,3;-0,7;6,33;-3,071
6,38;1,25;-1,4;6,38;-3,071
6,43;1,16;-2,1;6,43;-3,071
6,48;1,04;-2,7;6,48;-3,071
6,53;0,89;-3,1;6,53;-3,071
6,58;0,73;-3,4;6,58;-3,071
6,63;0,55;-3,6;6,63;-3,071
6,68;0,37;-3,7;6,68;-3,071
6,73;0,18;-3,7;6,73;-3,071
6,78;0;-3,7;6,78;-3,071
6,83;-0,19;-3,7;6,83;-3,071
6,88;-0,37;-3,6;6,88;-3,071
6,93;-0,55;-3,4;6,93;-3,071
6,98;-0,71;-3;6,98;-3,071
7,03;-0,85;-2,6;7,03;-3,071
7,08;-0,97;-2,1;7,08;-3,071
7,13;-1,06;-1,5;7,13;-3,071
7,18;-1,12;-0,9;7,18;-3,071
7,23;-1,15;-0,3;7,23;-3,071
7,28;-1,15;0,3;7,28;-3,071
7,33;-1,12;0,9;7,33;-3,071
7,38;-1,06;1,5;7,38;-3,071
7,43;-0,97;2,1;7,43;-3,071
7,48;-0,85;2,6;7,48;-3,071
7,53;-0,71;3;7,53;-3,071
7,58;-0,55;3,3;7,58;-3,071
7,63;-0,38;3,5;7,63;-3,071
7,68;-0,2;3,6;7,68;-3,071
7,73;-0,02;3,6;7,73;-3,071
7,78;0,15;3,5;7,78;-3,071
7,83;0,33;3,5;7,83;-3,071
7,88;0,5;3,4;7,88;-3,071
7,93;0,67;3,2;7,93;-3,071
7,98;0,82;2,9;7,98;-3,071
8,03;0,96;2,4;8,03;-3,071
8,08;1,07;1,9;8,08;-3,071
8,13;1,15;1,3;8,13;-3,071
8,18;1,2;0,7;8,18;-3,071
8,23;1,22;0;8,23;-3,071
8,28;1,2;-0,6;8,28;-3,071
8,33;1,15;-1,3;8,33;-3,071
8,38;1,07;-1,9;8,38;-3,071
8,43;0,96;-2,4;8,43;-3,071
8,48;0,83;-2,8;8,48;-3,071
8,53;0,68;-3,1;8,53;-3,071
8,58;0,52;-3,3;8,58;-3,071
8,63;0,35;-3,4;8,63;-3,071
8,68;0,18;-3,4;8,68;-3,071
8,73;0;-3,4;8,73;-3,071
8,78;-0,17;-3,4;8,78;-3,071
8,83;-0,34;-3,3;8,83;-3,071
8,88;-0,5;-3,1;8,88;-3,071
8,93;-0,65;-2,8;8,93;-3,071
8,98;-0,78;-2,4;8,98;-3,071
9,03;-0,89;-1,9;9,03;-3,071
9,08;-0,98;-1,4;9,08;-3,071
9,13;-1,04;-0,9;9,13;-3,071
9,18;-1,06;-0,3;9,18;-3,071
9,23;-1,07;0,2;9,23;-3,071
9,28;-1,04;0,8;9,28;-3,071
9,33;-0,99;1,4;9,33;-3,071
9,38;-0,9;1,9;9,38;-3,071
9,43;-0,8;2,3;9,43;-3,071
9,48;-0,67;2,7;9,48;-3,071
9,53;-0,53;3;9,53;-3,071
9,58;-0,37;3,2;9,58;-3,071
9,63;-0,2;3,3;9,63;-3,071
9,68;-0,04;3,3;9,68;-3,071
9,73;0,13;3,3;9,73;-3,071
9,78;0,29;3,2;9,78;-3,071
9,83;0,45;3,1;9,83;-3,071
9,88;0,6;2,9;9,88;-3,071
9,93;0,74;2,7;9,93;-3,071
9,98;0,87;2,3;9,98;-3,071
10,03;0,97;1,8;10,03;-3,071
10,08;1,05;1,3;10,08;-3,071
10,13;1,1;0,7;10,13;-3,071
10,18;1,12;0,1;10,18;-3,071
10,23;1,11;-0,5;10,23;-3,071
10,28;1,07;-1,1;10,28;-3,071
10,33;1;-1,7;10,33;-3,071
10,38;0,9;-2,1;10,38;-3,071
10,43;0,78;-2,5;10,43;-3,071
10,48;0,65;-2,8;10,48;-3,071
10,53;0,5;-3;10,53;-3,071
10,58;0,35;-3,1;10,58;-3,071
10,63;0,19;-3,2;10,63;-3,071
10,68;0,03;-3,2;10,68;-3,071
10,73;-0,13;-3,2;10,73;-3,071
10,78;-0,28;-3,1;10,78;-3,071
10,83;-0,44;-2,9;10,83;-3,071
10,88;-0,58;-2,7;10,88;-3,071
10,93;-0,7;-2,3;10,93;-3,071
10,98;-0,81;-1,9;10,98;-3,071
11,03;-0,89;-1,4;11,03;-3,071
11,08;-0,95;-0,9;11,08;-3,071
11,13;-0,98;-0,4;11,13;-3,071
11,18;-0,99;0,1;11,18;-3,071
11,23;-0,97;0,6;11,23;-3,071
11,28;-0,93;1,2;11,28;-3,071
11,33;-0,86;1,6;11,33;-3,071
11,38;-0,76;2,1;11,38;-3,071
11,43;-0,65;2,4;11,43;-3,071
11,48;-0,52;2,7;11,48;-3,071
11,53;-0,38;2,9;11,53;-3,071
11,58;-0,23;3;11,58;-3,071
11,63;-0,07;3;11,63;-3,071
11,68;0,08;3;11,68;-3,071
11,73;0,23;3;11,73;-3,071
11,78;0,38;2,9;11,78;-3,071
11,83;0,52;2,7;11,83;-3,071
11,88;0,65;2,5;11,88;-3,071
11,93;0,77;2,2;11,93;-3,071
11,98;0,87;1,8;11,98;-3,071
12,03;0,95;1,3;12,03;-3,071
12,08;1;0,8;12,08;-3,071
12,13;1,03;0,2;12,13;-3,071
12,18;1,03;-0,3;12,18;-3,071
12,23;1;-0,9;12,23;-3,071
12,28;0,94;-1,4;12,28;-3,071
12,33;0,86;-1,8;12,33;-3,071
12,38;0,76;-2,2;12,38;-3,071
12,43;0,64;-2,5;12,43;-3,071
12,48;0,51;-2,7;12,48;-3,071
12,53;0,37;-2,8;12,53;-3,071
12,58;0,22;-2,9;12,58;-3,071
12,63;0,08;-2,9;12,63;-3,071
12,68;-0,07;-2,9;12,68;-3,071
12,73;-0,22;-2,9;12,73;-3,071
12,78;-0,36;-2,7;12,78;-3,071
12,83;-0,49;-2,5;12,83;-3,071
12,88;-0,61;-2,3;12,88;-3,071
12,93;-0,72;-1,9;12,93;-3,071
12,98;-0,8;-1,5;12,98;-3,071
13,03;-0,86;-1;13,03;-3,071
13,08;-0,9;-0,5;13,08;-3,071
13,13;-0,92;-0,1;13,13;-3,071
13,18;-0,91;0,4;13,18;-3,071
13,23;-0,87;0,9;13,23;-3,071
13,28;-0,82;1,4;13,28;-3,071
13,33;-0,74;1,8;13,33;-3,071
13,38;-0,64;2,1;13,38;-3,071
13,43;-0,52;2,4;13,43;-3,071
13,48;-0,39;2,6;13,48;-3,071
13,53;-0,26;2,8;13,53;-3,071
13,58;-0,12;2,8;13,58;-3,071
13,63;0,02;2,8;13,63;-3,071
13,68;0,16;2,8;13,68;-3,071
13,73;0,3;2,7;13,73;-3,071
13,78;0,43;2,6;13,78;-3,071
13,83;0,56;2,4;13,83;-3,071
13,88;0,67;2,1;13,88;-3,071
13,93;0,76;1,8;13,93;-3,071
13,98;0,85;1,4;13,98;-3,071
14,03;0,9;0,9;14,03;-3,071
14,08;0,93;0,4;14,08;-3,071
14,13;0,94;-0,1;14,13;-3,071
14,18;0,93;-0,6;14,18;-3,071
14,23;0,89;-1,1;14,23;-3,071
14,28;0,82;-1,5;14,28;-3,071
14,33;0,74;-1,9;14,33;-3,071
14,38;0,63;-2,2;14,38;-3,071
14,43;0,52;-2,4;14,43;-3,071
14,48;0,39;-2,6;14,48;-3,071
14,53;0,26;-2,6;14,53;-3,071
14,58;0,13;-2,7;14,58;-3,071
14,63;-0,01;-2,7;14,63;-3,071
14,68;-0,14;-2,7;14,68;-3,071
14,73;-0,27;-2,6;14,73;-3,071
14,78;-0,4;-2,4;14,78;-3,071
14,83;-0,52;-2,2;14,83;-3,071
14,88;-0,62;-1,9;14,88;-3,071
14,93;-0,71;-1,5;14,93;-3,071
14,98;-0,77;-1,1;14,98;-3,071
15,03;-0,82;-0,7;15,03;-3,071
15,08;-0,84;-0,3;15,08;-3,071
15,13;-0,84;0,2;15,13;-3,071
15,18;-0,82;0,6;15,18;-3,071
15,23;-0,78;1,1;15,23;-3,071
15,28;-0,72;1,5;15,28;-3,071
15,33;-0,63;1,8;15,33;-3,071
15,38;-0,53;2,1;15,38;-3,071
15,43;-0,42;2,3;15,43;-3,071
15,48;-0,3;2,5;15,48;-3,071
15,53;-0,17;2,6;15,53;-3,071
15,58;-0,04;2,6;15,58;-3,071
15,63;0,08;2,6;15,63;-3,071
15,68;0,21;2,5;15,68;-3,071
15,73;0,34;2,4;15,73;-3,071
15,78;0,45;2,3;15,78;-3,071
15,83;0,56;2,1;15,83;-3,071
15,88;0,66;1,8;15,88;-3,071
15,93;0,74;1,4;15,93;-3,071
15,98;0,8;1;15,98;-3,071
16,03;0,84;0,6;16,03;-3,071
16,08;0,86;0,2;16,08;-3,071
16,13;0,86;-0,3;16,13;-3,071
16,18;0,84;-0,7;16,18;-3,071
16,23;0,79;-1,2;16,23;-3,071
16,28;0,72;-1,5;16,28;-3,071
16,33;0,63;-1,8;16,33;-3,071
16,38;0,54;-2,1;16,38;-3,071
16,43;0,42;-2,3;16,43;-3,071
16,48;0,31;-2,4;16,48;-3,071
16,53;0,19;-2,4;16,53;-3,071
16,58;0,06;-2,5;16,58;-3,071
16,63;-0,06;-2,5;16,63;-3,071
16,68;-0,18;-2,4;16,68;-3,071
16,73;-0,3;-2,3;16,73;-3,071
16,78;-0,41;-2,1;16,78;-3,071
16,83;-0,52;-1,9;16,83;-3,071
16,88;-0,61;-1,6;16,88;-3,071
16,93;-0,68;-1,2;16,93;-3,071
16,98;-0,73;-0,9;16,98;-3,071
17,03;-0,76;-0,5;17,03;-3,071
17,08;-0,77;-0,1;17,08;-3,071
17,13;-0,77;0,3;17,13;-3,071
17,18;-0,74;0,8;17,18;-3,071
17,23;-0,7;1,1;17,23;-3,071
17,28;-0,63;1,5;17,28;-3,071
17,33;-0,55;1,8;17,33;-3,071
17,38;-0,45;2;17,38;-3,071
17,43;-0,34;2,2;17,43;-3,071
17,48;-0,23;2,3;17,48;-3,071
17,53;-0,11;2,4;17,53;-3,071
17,58;0,01;2,4;17,58;-3,071
17,63;0,13;2,3;17,63;-3,071
17,68;0,24;2,3;17,68;-3,071
17,73;0,35;2,2;17,73;-3,071
17,78;0,46;2;17,78;-3,071
17,83;0,55;1,8;17,83;-3,071
17,88;0,64;1,5;17,88;-3,071
17,93;0,7;1,2;17,93;-3,071
17,98;0,75;0,8;17,98;-3,071
18,03;0,78;0,4;18,03;-3,071
18,08;0,79;0;18,08;-3,071
18,13;0,78;-0,4;18,13;-3,071
18,18;0,75;-0,8;18,18;-3,071
18,23;0,7;-1,2;18,23;-3,071
18,28;0,63;-1,5;18,28;-3,071
18,33;0,55;-1,8;18,33;-3,071
18,38;0,46;-2;18,38;-3,071
18,43;0,35;-2,1;18,43;-3,071
18,48;0,24;-2,2;18,48;-3,071
18,53;0,13;-2,3;18,53;-3,071
18,58;0,02;-2,3;18,58;-3,071
18,63;-0,1;-2,3;18,63;-3,071
18,68;-0,21;-2,2;18,68;-3,071
18,73;-0,32;-2,1;18,73;-3,071
18,78;-0,42;-1,9;18,78;-3,071
18,83;-0,51;-1,6;18,83;-3,071
18,88;-0,58;-1,4;18,88;-3,071
18,93;-0,64;-1;18,93;-3,071
18,98;-0,68;-0,7;18,98;-3,071
19,03;-0,71;-0,3;19,03;-3,071
19,08;-0,71;0;19,08;-3,071
19,13;-0,7;0,4;19,13;-3,071
19,18;-0,67;0,8;19,18;-3,071
19,23;-0,62;1,2;19,23;-3,071
19,28;-0,55;1,5;19,28;-3,071
19,33;-0,47;1,7;19,33;-3,071
19,38;-0,38;1,9;19,38;-3,071
19,43;-0,28;2,1;19,43;-3,071
19,48;-0,17;2,1;19,48;-3,071
19,53;-0,07;2,2;19,53;-3,071
19,58;0,04;2,2;19,58;-3,071
19,63;0,15;2,1;19,63;-3,071
19,68;0,26;2,1;19,68;-3,071
19,73;0,36;1,9;19,73;-3,071
19,78;0,45;1,8;19,78;-3,071
19,83;0,53;1,5;19,83;-3,071
19,88;0,61;1,3;19,88;-3,071
19,93;0,66;1;19,93;-3,071
19,98;0,7;0,6;19,98;-3,071
20,03;0,72;0,3;20,03;-3,071
20,08;0,73;-0,1;20,08;-3,071
20,13;0,71;-0,5;20,13;-3,071
20,18;0,68;-0,9;20,18;-3,071
20,23;0,63;-1,2;20,23;-3,071
20,28;0,56;-1,4;20,28;-3,071
20,33;0,48;-1,7;20,33;-3,071
20,38;0,39;-1,9;20,38;-3,071
20,43;0,3;-2;20,43;-3,071
20,48;0,2;-2;20,48;-3,071
20,53;0,09;-2,1;20,53;-3,071
20,58;-0,01;-2,1;20,58;-3,071
20,63;-0,12;-2,1;20,63;-3,071
20,68;-0,22;-2;20,68;-3,071
20,73;-0,32;-1,9;20,73;-3,071
20,78;-0,4;-1,7;20,78;-3,071
20,83;-0,48;-1,4;20,83;-3,071
20,88;-0,55;-1,2;20,88;-3,071
20,93;-0,6;-0,9;20,93;-3,071
20,98;-0,63;-0,5;20,98;-3,071
21,03;-0,65;-0,2;21,03;-3,071
21,08;-0,65;0,1;21,08;-3,071
21,13;-0,64;0,5;21,13;-3,071
21,18;-0,6;0,8;21,18;-3,071
21,23;-0,56;1,1;21,23;-3,071
21,28;-0,49;1,4;21,28;-3,071
21,33;-0,42;1,6;21,33;-3,071
21,38;-0,33;1,8;21,38;-3,071
21,43;-0,24;1,9;21,43;-3,071
21,48;-0,14;2;21,48;-3,071
21,53;-0,04;2;21,53;-3,071
21,58;0,06;2;21,58;-3,071
21,63;0,16;1,9;21,63;-3,071
21,68;0,26;1,9;21,68;-3,071
21,73;0,35;1,8;21,73;-3,071
21,78;0,43;1,6;21,78;-3,071
21,83;0,5;1,3;21,83;-3,071
21,88;0,57;1,1;21,88;-3,071
21,93;0,61;0,8;21,93;-3,071
21,98;0,65;0,5;21,98;-3,071
22,03;0,66;0,2;22,03;-3,071
22,08;0,66;-0,2;22,08;-3,071
22,13;0,65;-0,5;22,13;-3,071
22,18;0,61;-0,8;22,18;-3,071
22,23;0,56;-1,1;22,23;-3,071
22,28;0,5;-1,4;22,28;-3,071
22,33;0,43;-1,6;22,33;-3,071
22,38;0,35;-1,7;22,38;-3,071
22,43;0,25;-1,8;22,43;-3,071
22,48;0,16;-1,9;22,48;-3,071
22,53;0,07;-1,9;22,53;-3,071
22,58;-0,03;-1,9;22,58;-3,071
22,63;-0,13;-1,9;22,63;-3,071
22,68;-0,22;-1,8;22,68;-3,071
22,73;-0,31;-1,7;22,73;-3,071
22,78;-0,38;-1,5;22,78;-3,071
22,83;-0,46;-1,3;22,83;-3,071
22,88;-0,51;-1;22,88;-3,071
22,93;-0,56;-0,7;22,93;-3,071
22,98;-0,58;-0,4;22,98;-3,071
23,03;-0,6;-0,1;23,03;-3,071
23,08;-0,6;0,2;23,08;-3,071
23,13;-0,58;0,5;23,13;-3,071
23,18;-0,55;0,8;23,18;-3,071
23,23;-0,5;1,1;23,23;-3,071
23,28;-0,44;1,3;23,28;-3,071
23,33;-0,37;1,5;23,33;-3,071
23,38;-0,28;1,7;23,38;-3,071
23,43;-0,2;1,8;23,43;-3,071
23,48;-0,11;1,8;23,48;-3,071
23,53;-0,02;1,8;23,53;-3,071
23,58;0,07;1,8;23,58;-3,071
23,63;0,16;1,8;23,63;-3,071
23,68;0,25;1,7;23,68;-3,071
23,73;0,33;1,6;23,73;-3,071
23,78;0,41;1,4;23,78;-3,071
23,83;0,47;1,2;23,83;-3,071
23,88;0,53;1;23,88;-3,071
23,93;0,57;0,7;23,93;-3,071
23,98;0,6;0,4;23,98;-3,071
24,03;0,61;0,1;24,03;-3,071
24,08;0,61;-0,2;24,08;-3,071
24,13;0,59;-0,5;24,13;-3,071
24,18;0,55;-0,8;24,18;-3,071
24,23;0,51;-1,1;24,23;-3,071
24,28;0,45;-1,3;24,28;-3,071
24,33;0,38;-1,4;24,33;-3,071
24,38;0,31;-1,6;24,38;-3,071
24,43;0,22;-1,7;24,43;-3,071
24,48;0,14;-1,7;24,48;-3,071
24,53;0,05;-1,8;24,53;-3,071
24,58;-0,04;-1,8;24,58;-3,071
24,63;-0,13;-1,7;24,63;-3,071
24,68;-0,21;-1,6;24,68;-3,071
24,73;-0,29;-1,5;24,73;-3,071
24,78;-0,36;-1,3;24,78;-3,071
24,83;-0,42;-1,1;24,83;-3,071
24,88;-0,47;-0,9;24,88;-3,071
24,93;-0,51;-0,6;24,93;-3,071
24,98;-0,54;-0,4;24,98;-3,071
25,03;-0,55;-0,1;25,03;-3,071
25,08;-0,54;0,2;25,08;-3,071
25,13;-0,53;0,5;25,13;-3,071
25,18;-0,49;0,8;25,18;-3,071
25,23;-0,45;1;25,23;-3,071
25,28;-0,39;1,2;25,28;-3,071
25,33;-0,33;1,4;25,33;-3,071
25,38;-0,25;1,5;25,38;-3,071
25,43;-0,18;1,6;25,43;-3,071
25,48;-0,09;1,7;25,48;-3,071
25,53;-0,01;1,7;25,53;-3,071
25,58;0,08;1,7;25,58;-3,071
25,63;0,16;1,6;25,63;-3,071
25,68;0,24;1,5;25,68;-3,071
25,73;0,31;1,4;25,73;-3,071
25,78;0,38;1,3;25,78;-3,071
25,83;0,44;1,1;25,83;-3,071
25,88;0,49;0,8;25,88;-3,071
25,93;0,52;0,6;25,93;-3,071
25,98;0,55;0,3;25,98;-3,071
26,03;0,55;0,1;26,03;-3,071
26,08;0,55;-0,2;26,08;-3,071
26,13;0,54;-0,5;26,13;-3,071
26,18;0,5;-0,8;26,18;-3,071
26,23;0,46;-1;26,23;-3,071
26,28;0,41;-1,2;26,28;-3,071
26,33;0,34;-1,3;26,33;-3,071
26,38;0,27;-1,4;26,38;-3,071
26,43;0,2;-1,5;26,43;-3,071
26,48;0,12;-1,6;26,48;-3,071
26,53;0,04;-1,6;26,53;-3,071
26,58;-0,04;-1,6;26,58;-3,071
26,63;-0,12;-1,6;26,63;-3,071
26,68;-0,2;-1,5;26,68;-3,071
26,73;-0,27;-1,4;26,73;-3,071
26,78;-0,33;-1,2;26,78;-3,071
26,83;-0,39;-1;26,83;-3,071
26,88;-0,43;-0,8;26,88;-3,071
26,93;-0,47;-0,6;26,93;-3,071
26,98;-0,49;-0,3;26,98;-3,071
27,03;-0,5;-0,1;27,03;-3,071
27,08;-0,5;0,2;27,08;-3,071
27,13;-0,48;0,5;27,13;-3,071
27,18;-0,45;0,7;27,18;-3,071
27,23;-0,41;0,9;27,23;-3,071
27,28;-0,36;1,1;27,28;-3,071
27,33;-0,29;1,3;27,33;-3,071
27,38;-0,23;1,4;27,38;-3,071
27,43;-0,15;1,5;27,43;-3,071
27,48;-0,08;1,5;27,48;-3,071
27,53;0;1,5;27,53;-3,071
27,58;0,08;1,5;27,58;-3,071
27,63;0,15;1,5;27,63;-3,071
27,68;0,22;1,4;27,68;-3,071
27,73;0,29;1,3;27,73;-3,071
27,78;0,35;1,1;27,78;-3,071
27,83;0,4;1;27,83;-3,071
27,88;0,45;0,7;27,88;-3,071
27,93;0,48;0,5;27,93;-3,071
27,98;0,5;0,3;27,98;-3,071
28,03;0,51;0,1;28,03;-3,071
28,08;0,5;-0,2;28,08;-3,071
28,13;0,49;-0,5;28,13;-3,071
28,18;0,46;-0,7;28,18;-3,071
28,23;0,42;-0,9;28,23;-3,071
28,28;0,37;-1,1;28,28;-3,071
28,33;0,31;-1,2;28,33;-3,071
28,38;0,25;-1,3;28,38;-3,071
28,43;0,18;-1,4;28,43;-3,071
28,48;0,11;-1,4;28,48;-3,071
28,53;0,03;-1,5;28,53;-3,071
28,58;-0,04;-1,4;28,58;-3,071
28,63;-0,11;-1,4;28,63;-3,071
28,68;-0,18;-1,4;28,68;-3,071
28,73;-0,25;-1,2;28,73;-3,071
28,78;-0,31;-1,1;28,78;-3,071
28,83;-0,36;-0,9;28,83;-3,071
28,88;-0,4;-0,7;28,88;-3,071
28,93;-0,43;-0,5;28,93;-3,071
28,98;-0,45;-0,3;28,98;-3,071
29,03;-0,45;-0,1;29,03;-3,071
29,08;-0,45;0,2;29,08;-3,071
29,13;-0,44;0,5;29,13;-3,071
29,18;-0,41;0,7;29,18;-3,071
29,23;-0,37;0,9;29,23;-3,071
29,28;-0,32;1;29,28;-3,071
29,33;-0,26;1,2;29,33;-3,071
29,38;-0,2;1,3;29,38;-3,071
29,43;-0,14;1,4;29,43;-3,071
29,48;-0,07;1,4;29,48;-3,071
29,53;0;1,4;29,53;-3,071
29,58;0,07;1,4;29,58;-3,071
29,63;0,14;1,3;29,63;-3,071
29,68;0,21;1,3;29,68;-3,071
29,73;0,27;1,1;29,73;-3,071
29,78;0,32;1;29,78;-3,071
29,83;0,37;0,9;29,83;-3,071
29,88;0,41;0,7;29,88;-3,071
29,93;0,44;0,5;29,93;-3,071
29,98;0,46;0,2;29,98;-3,071
30,03;0,46;0;30,03;-3,071
30,08;0,46;-0,2;30,08;-3,071
30,13;0,44;-0,4;30,13;-3,071
30,18;0,42;-0,6;30,18;-3,071
30,23;0,38;-0,8;30,23;-3,071
30,28;0,34;-1;30,28;-3,071
30,33;0,28;-1,1;30,33;-3,071
30,38;0,22;-1,2;30,38;-3,071
30,43;0,16;-1,3;30,43;-3,071
30,48;0,09;-1,3;30,48;-3,071
30,53;0,03;-1,3;30,53;-3,071
30,58;-0,04;-1,3;30,58;-3,071
30,63;-0,1;-1,3;30,63;-3,071
30,68;-0,17;-1,2;30,68;-3,071
30,73;-0,23;-1,1;30,73;-3,071
30,78;-0,28;-1;30,78;-3,071
30,83;-0,32;-0,8;30,83;-3,071
30,88;-0,36;-0,6;30,88;-3,071
30,93;-0,39;-0,4;30,93;-3,071
30,98;-0,41;-0,2;30,98;-3,071
31,03;-0,41;0;31,03;-3,071
31,08;-0,41;0,2;31,08;-3,071
31,13;-0,39;0,4;31,13;-3,071
31,18;-0,37;0,6;31,18;-3,071
31,23;-0,33;0,8;31,23;-3,071
31,28;-0,29;0,9;31,28;-3,071
31,33;-0,24;1,1;31,33;-3,071
31,38;-0,18;1,2;31,38;-3,071
31,43;-0,12;1,2;31,43;-3,071
31,48;-0,06;1,3;31,48;-3,071
31,53;0,01;1,3;31,53;-3,071
31,58;0,07;1,3;31,58;-3,071
31,63;0,13;1,2;31,63;-3,071
31,68;0,19;1,1;31,68;-3,071
31,73;0,25;1;31,73;-3,071
31,78;0,3;0,9;31,78;-3,071
31,83;0,34;0,8;31,83;-3,071
31,88;0,37;0,6;31,88;-3,071
31,93;0,4;0,4;31,93;-3,071
31,98;0,42;0,2;31,98;-3,071
32,03;0,42;0;32,03;-3,071
32,08;0,42;-0,2;32,08;-3,071
